soil_property,spectra_type,subset_type,geo_type,test,organization,n,rmse,bias,rsq,ccc,rpiq
k.ext_usda.a725_cmolc.kg,mir,kssl,na,original,ETH_vertex,69,0.332,0.1,0.495,0.67,1.539
k.ext_usda.a725_cmolc.kg,mir,kssl,na,original,IAEA_aug2022,69,0.508,-0.206,0.358,0.535,1.007
k.ext_usda.a725_cmolc.kg,mir,kssl,na,original,KSSL,69,0.32,0.096,0.522,0.681,1.6
k.ext_usda.a725_cmolc.kg,mir,kssl,na,original,LandCare,69,0.332,0.135,0.526,0.661,1.541
k.ext_usda.a725_cmolc.kg,mir,kssl,na,original,Lesotho,69,1.461,1.392,0.001,0.001,0.35
k.ext_usda.a725_cmolc.kg,mir,kssl,na,original,MSU,69,0.332,0.141,0.534,0.662,1.541
k.ext_usda.a725_cmolc.kg,mir,kssl,na,original,OSU,69,0.383,0.17,0.421,0.584,1.336
k.ext_usda.a725_cmolc.kg,mir,kssl,na,original,Rothamsted,69,0.32,0.022,0.493,0.691,1.6
k.ext_usda.a725_cmolc.kg,mir,kssl,na,original,Scion,69,0.298,-0.049,0.554,0.709,1.719
k.ext_usda.a725_cmolc.kg,mir,kssl,na,original,UGhent,69,0.521,0.091,0.122,0.342,0.981
k.ext_usda.a725_cmolc.kg,mir,kssl,na,original,UIUC,69,0.695,-0.013,0.385,0.497,0.736
k.ext_usda.a725_cmolc.kg,mir,kssl,na,original,USP,69,0.412,0.04,0.28,0.525,1.242
k.ext_usda.a725_cmolc.kg,mir,kssl,na,original,UWisc_fine,69,0.414,0.259,0.467,0.543,1.235
k.ext_usda.a725_cmolc.kg,mir,kssl,na,original,Woodwell_alpha,69,0.32,0.058,0.496,0.68,1.597
k.ext_usda.a725_cmolc.kg,mir,kssl,na,original,Woodwell_vertex,69,0.309,0.097,0.555,0.682,1.656
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,Agrocares,69,0.356,-0.148,0.47,0.625,1.438
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,Argonne,69,0.329,-0.022,0.468,0.674,1.555
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,CSU_IL,69,0.338,0.139,0.508,0.634,1.513
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,ETH_alpha_1,69,0.316,0.046,0.496,0.676,1.616
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,ETH_alpha_2,69,0.31,-0.052,0.524,0.702,1.649
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,ETH_vertex,69,0.311,0.016,0.522,0.714,1.646
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,IAEA_aug2022,69,0.58,-0.386,0.405,0.477,0.882
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,KSSL,69,0.316,0.087,0.524,0.676,1.62
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,LandCare,69,0.342,0.167,0.537,0.631,1.494
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,Lesotho,69,1.157,1.055,0.009,0.014,0.442
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,MSU,69,0.303,0.069,0.549,0.701,1.686
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,OSU,69,0.332,0.053,0.482,0.684,1.541
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,Rothamsted,69,0.311,0.007,0.513,0.704,1.645
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,Scion,69,0.294,-0.072,0.579,0.723,1.739
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,UGhent,69,0.488,0.121,0.149,0.37,1.048
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,UIUC,69,0.723,-0.174,0.42,0.496,0.707
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,USP,69,0.391,-0.076,0.329,0.56,1.306
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,UWisc_fine,69,0.343,0.094,0.444,0.62,1.492
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,Woodwell_alpha,69,0.312,-0.02,0.505,0.693,1.637
k.ext_usda.a725_cmolc.kg,mir,ossl,na,original,Woodwell_vertex,69,0.301,-0.063,0.555,0.718,1.7
oc_usda.c729_w.pct,mir,kssl,na,original,Agrocares,69,0.663,-0.076,0.99,0.994,2.836
oc_usda.c729_w.pct,mir,kssl,na,original,Argonne,69,1.981,-0.314,0.992,0.961,0.949
oc_usda.c729_w.pct,mir,kssl,na,original,CSU_IL,69,0.7,0.18,0.993,0.993,2.685
oc_usda.c729_w.pct,mir,kssl,na,original,ETH_alpha_1,69,0.883,0.348,0.983,0.989,2.129
oc_usda.c729_w.pct,mir,kssl,na,original,ETH_alpha_2,69,0.509,0.259,0.995,0.997,3.696
oc_usda.c729_w.pct,mir,kssl,na,original,ETH_vertex,69,0.614,0.369,0.994,0.995,3.06
oc_usda.c729_w.pct,mir,kssl,na,original,IAEA_aug2022,69,2.592,-0.66,0.992,0.939,0.725
oc_usda.c729_w.pct,mir,kssl,na,original,KSSL,69,0.66,0.129,0.993,0.994,2.846
oc_usda.c729_w.pct,mir,kssl,na,original,LandCare,69,1.284,0.518,0.992,0.974,1.463
oc_usda.c729_w.pct,mir,kssl,na,original,Lesotho,69,6.121,2.689,0.878,0.17,0.307
oc_usda.c729_w.pct,mir,kssl,na,original,MSU,69,0.684,0.145,0.992,0.993,2.749
oc_usda.c729_w.pct,mir,kssl,na,original,OSU,69,1.08,0.053,0.992,0.987,1.74
oc_usda.c729_w.pct,mir,kssl,na,original,Rothamsted,69,0.619,0.1,0.991,0.995,3.037
oc_usda.c729_w.pct,mir,kssl,na,original,Scion,69,0.931,-0.513,0.986,0.989,2.019
oc_usda.c729_w.pct,mir,kssl,na,original,UGhent,69,1.679,0.64,0.992,0.953,1.12
oc_usda.c729_w.pct,mir,kssl,na,original,UIUC,69,7.142,-1.802,0.988,0.756,0.263
oc_usda.c729_w.pct,mir,kssl,na,original,USP,69,1.005,0.32,0.98,0.987,1.869
oc_usda.c729_w.pct,mir,kssl,na,original,UWisc_fine,69,0.607,0.163,0.991,0.995,3.096
oc_usda.c729_w.pct,mir,kssl,na,original,Woodwell_alpha,69,0.725,0.073,0.988,0.993,2.592
oc_usda.c729_w.pct,mir,kssl,na,original,Woodwell_vertex,69,1.468,-0.083,0.99,0.977,1.28
oc_usda.c729_w.pct,mir,ossl,na,original,Agrocares,69,0.881,-0.001,0.987,0.989,2.132
oc_usda.c729_w.pct,mir,ossl,na,original,Argonne,69,1.726,-0.25,0.99,0.969,1.089
oc_usda.c729_w.pct,mir,ossl,na,original,CSU_IL,69,0.85,0.195,0.992,0.989,2.212
oc_usda.c729_w.pct,mir,ossl,na,original,ETH_alpha_1,69,0.988,0.348,0.98,0.986,1.902
oc_usda.c729_w.pct,mir,ossl,na,original,ETH_alpha_2,69,0.627,0.286,0.993,0.995,2.999
oc_usda.c729_w.pct,mir,ossl,na,original,ETH_vertex,69,0.678,0.333,0.991,0.994,2.772
oc_usda.c729_w.pct,mir,ossl,na,original,IAEA_aug2022,69,2.632,-0.711,0.987,0.937,0.714
oc_usda.c729_w.pct,mir,ossl,na,original,KSSL,69,0.877,0.199,0.992,0.989,2.142
oc_usda.c729_w.pct,mir,ossl,na,original,LandCare,69,1.538,0.594,0.991,0.961,1.222
oc_usda.c729_w.pct,mir,ossl,na,original,Lesotho,69,5.751,2.24,0.857,0.236,0.327
oc_usda.c729_w.pct,mir,ossl,na,original,MSU,69,0.842,0.164,0.99,0.99,2.232
oc_usda.c729_w.pct,mir,ossl,na,original,OSU,69,0.905,0.054,0.991,0.99,2.076
oc_usda.c729_w.pct,mir,ossl,na,original,Rothamsted,69,0.678,0.161,0.989,0.994,2.771
oc_usda.c729_w.pct,mir,ossl,na,original,Scion,69,0.831,-0.356,0.985,0.991,2.263
oc_usda.c729_w.pct,mir,ossl,na,original,UGhent,69,1.92,0.707,0.991,0.936,0.979
oc_usda.c729_w.pct,mir,ossl,na,original,UIUC,69,6.49,-1.637,0.986,0.78,0.29
oc_usda.c729_w.pct,mir,ossl,na,original,USP,69,1.03,0.361,0.975,0.986,1.824
oc_usda.c729_w.pct,mir,ossl,na,original,UWisc_fine,69,0.668,0.145,0.99,0.994,2.812
oc_usda.c729_w.pct,mir,ossl,na,original,Woodwell_alpha,69,0.701,0.129,0.987,0.993,2.682
oc_usda.c729_w.pct,mir,ossl,na,original,Woodwell_vertex,69,1.257,-0.068,0.987,0.982,1.496
ph.h2o_usda.a268_index,mir,kssl,na,original,Agrocares,70,1.008,0.127,0.715,0.782,1.91
ph.h2o_usda.a268_index,mir,kssl,na,original,Argonne,70,1.04,0.418,0.741,0.773,1.851
ph.h2o_usda.a268_index,mir,kssl,na,original,CSU_IL,70,0.666,0.304,0.802,0.867,2.891
ph.h2o_usda.a268_index,mir,kssl,na,original,ETH_alpha_1,70,0.81,0.242,0.799,0.843,2.378
ph.h2o_usda.a268_index,mir,kssl,na,original,ETH_alpha_2,70,0.85,0.016,0.769,0.832,2.265
ph.h2o_usda.a268_index,mir,kssl,na,original,ETH_vertex,70,0.72,-0.253,0.805,0.862,2.676
ph.h2o_usda.a268_index,mir,kssl,na,original,IAEA_aug2022,70,1.804,1.287,0.689,0.561,1.067
ph.h2o_usda.a268_index,mir,kssl,na,original,KSSL,70,0.657,-0.131,0.773,0.869,2.931
ph.h2o_usda.a268_index,mir,kssl,na,original,LandCare,70,0.607,-0.181,0.826,0.892,3.17
ph.h2o_usda.a268_index,mir,kssl,na,original,Lesotho,70,3.24,2.221,0.251,0.239,0.594
ph.h2o_usda.a268_index,mir,kssl,na,original,MSU,70,0.6,-0.095,0.818,0.894,3.211
ph.h2o_usda.a268_index,mir,kssl,na,original,OSU,70,0.879,0.074,0.746,0.819,2.191
ph.h2o_usda.a268_index,mir,kssl,na,original,Rothamsted,70,0.673,0.228,0.814,0.875,2.863
ph.h2o_usda.a268_index,mir,kssl,na,original,Scion,70,0.642,-0.288,0.804,0.872,2.999
ph.h2o_usda.a268_index,mir,kssl,na,original,UGhent,70,0.902,-0.454,0.753,0.8,2.134
ph.h2o_usda.a268_index,mir,kssl,na,original,UIUC,70,1.609,1.267,0.726,0.588,1.197
ph.h2o_usda.a268_index,mir,kssl,na,original,USP,70,0.94,0.29,0.808,0.817,2.049
ph.h2o_usda.a268_index,mir,kssl,na,original,UWisc_fine,70,0.716,-0.096,0.769,0.859,2.691
ph.h2o_usda.a268_index,mir,kssl,na,original,Woodwell_alpha,70,0.832,0.056,0.779,0.838,2.316
ph.h2o_usda.a268_index,mir,kssl,na,original,Woodwell_vertex,70,0.861,0.116,0.763,0.827,2.237
ph.h2o_usda.a268_index,mir,ossl,na,original,Agrocares,70,0.875,-0.047,0.744,0.82,2.201
ph.h2o_usda.a268_index,mir,ossl,na,original,Argonne,70,0.839,0.21,0.783,0.834,2.294
ph.h2o_usda.a268_index,mir,ossl,na,original,CSU_IL,70,0.559,0.154,0.834,0.903,3.442
ph.h2o_usda.a268_index,mir,ossl,na,original,ETH_alpha_1,70,0.715,0.058,0.802,0.868,2.694
ph.h2o_usda.a268_index,mir,ossl,na,original,ETH_alpha_2,70,0.801,-0.107,0.774,0.842,2.404
ph.h2o_usda.a268_index,mir,ossl,na,original,ETH_vertex,70,0.669,-0.157,0.806,0.876,2.88
ph.h2o_usda.a268_index,mir,ossl,na,original,IAEA_aug2022,70,1.438,1.2,0.841,0.651,1.339
ph.h2o_usda.a268_index,mir,ossl,na,original,KSSL,70,0.619,-0.079,0.79,0.883,3.112
ph.h2o_usda.a268_index,mir,ossl,na,original,LandCare,70,0.581,-0.117,0.821,0.897,3.313
ph.h2o_usda.a268_index,mir,ossl,na,original,Lesotho,70,1.58,0.753,0.469,0.558,1.219
ph.h2o_usda.a268_index,mir,ossl,na,original,MSU,70,0.579,-0.107,0.818,0.897,3.327
ph.h2o_usda.a268_index,mir,ossl,na,original,OSU,70,0.719,-0.033,0.798,0.866,2.679
ph.h2o_usda.a268_index,mir,ossl,na,original,Rothamsted,70,0.638,0.197,0.82,0.884,3.02
ph.h2o_usda.a268_index,mir,ossl,na,original,Scion,70,0.578,-0.14,0.804,0.891,3.332
ph.h2o_usda.a268_index,mir,ossl,na,original,UGhent,70,0.723,-0.351,0.796,0.852,2.665
ph.h2o_usda.a268_index,mir,ossl,na,original,UIUC,70,1.399,1.061,0.744,0.647,1.376
ph.h2o_usda.a268_index,mir,ossl,na,original,USP,70,0.792,0.048,0.805,0.852,2.432
ph.h2o_usda.a268_index,mir,ossl,na,original,UWisc_fine,70,0.638,-0.1,0.787,0.878,3.019
ph.h2o_usda.a268_index,mir,ossl,na,original,Woodwell_alpha,70,0.737,-0.008,0.799,0.863,2.613
ph.h2o_usda.a268_index,mir,ossl,na,original,Woodwell_vertex,70,0.774,-0.013,0.783,0.851,2.489
