soil_property,spectra_type,subset_type,geo_type,test,organization,n,rmse,bias,rsq,ccc,rpiq
oc_usda.c729_w.pct,mir,kssl,na,original,IAEA_aug2022,69,1.421,-0.057,0.95,0.971,1.323
oc_usda.c729_w.pct,mir,kssl,na,original,KSSL,69,0.628,-0.151,0.992,0.995,2.993
oc_usda.c729_w.pct,mir,kssl,na,original,LandCare,69,0.804,0.293,0.987,0.992,2.338
oc_usda.c729_w.pct,mir,kssl,na,original,Lesotho,69,4.82,-1.074,0.457,0.66,0.39
oc_usda.c729_w.pct,mir,kssl,na,original,MSU,69,0.689,-0.247,0.994,0.994,2.727
oc_usda.c729_w.pct,mir,kssl,na,original,OSU,69,0.986,-0.206,0.984,0.988,1.906
oc_usda.c729_w.pct,mir,kssl,na,original,Rothamsted,69,0.367,0.001,0.997,0.998,5.114
oc_usda.c729_w.pct,mir,kssl,na,original,Scion,69,0.792,-0.431,0.991,0.992,2.374
oc_usda.c729_w.pct,mir,kssl,na,original,UGhent,69,1.145,0.472,0.972,0.983,1.642
oc_usda.c729_w.pct,mir,kssl,na,original,UIUC,69,5.789,-1.561,0.615,0.718,0.325
oc_usda.c729_w.pct,mir,kssl,na,original,USP,69,1.631,-0.247,0.962,0.97,1.152
oc_usda.c729_w.pct,mir,kssl,na,original,UWisc_fine,69,1.108,-0.183,0.99,0.986,1.697
oc_usda.c729_w.pct,mir,kssl,na,original,Woodwell_alpha,69,1.055,-0.313,0.989,0.987,1.781
oc_usda.c729_w.pct,mir,kssl,na,original,Woodwell_vertex,69,0.996,-0.316,0.986,0.988,1.886
oc_usda.c729_w.pct,mir,ossl,na,original,Agrocares,69,0.6,-0.146,0.992,0.995,3.135
oc_usda.c729_w.pct,mir,ossl,na,original,Argonne,69,0.695,-0.144,0.995,0.994,2.705
oc_usda.c729_w.pct,mir,ossl,na,original,CSU_IL,69,0.357,-0.124,0.998,0.998,5.267
oc_usda.c729_w.pct,mir,ossl,na,original,ETH_alpha_1,69,0.952,-0.038,0.994,0.989,1.974
oc_usda.c729_w.pct,mir,ossl,na,original,ETH_alpha_2,69,0.367,0.149,0.997,0.998,5.119
oc_usda.c729_w.pct,mir,ossl,na,original,ETH_vertex,69,0.483,0.137,0.997,0.997,3.89
oc_usda.c729_w.pct,mir,ossl,na,original,IAEA_aug2022,69,1.142,-0.277,0.982,0.984,1.646
oc_usda.c729_w.pct,mir,ossl,na,original,KSSL,69,0.496,-0.058,0.996,0.997,3.788
oc_usda.c729_w.pct,mir,ossl,na,original,LandCare,69,0.722,0.386,0.99,0.993,2.602
oc_usda.c729_w.pct,mir,ossl,na,original,Lesotho,69,5.316,1.479,0.617,0.32,0.354
oc_usda.c729_w.pct,mir,ossl,na,original,MSU,69,0.399,-0.091,0.997,0.998,4.714
oc_usda.c729_w.pct,mir,ossl,na,original,OSU,69,0.491,0.006,0.996,0.997,3.83
oc_usda.c729_w.pct,mir,ossl,na,original,Rothamsted,69,0.416,0.066,0.996,0.998,4.515
oc_usda.c729_w.pct,mir,ossl,na,original,Scion,69,0.705,-0.37,0.991,0.994,2.667
oc_usda.c729_w.pct,mir,ossl,na,original,UGhent,69,1.458,0.481,0.955,0.969,1.289
oc_usda.c729_w.pct,mir,ossl,na,original,UIUC,69,5.668,-1.531,0.698,0.75,0.332
oc_usda.c729_w.pct,mir,ossl,na,original,USP,69,1.159,0.027,0.992,0.985,1.621
oc_usda.c729_w.pct,mir,ossl,na,original,UWisc_fine,69,0.658,-0.052,0.989,0.994,2.855
oc_usda.c729_w.pct,mir,ossl,na,original,Woodwell_alpha,69,0.575,-0.086,0.995,0.996,3.269
oc_usda.c729_w.pct,mir,ossl,na,original,Woodwell_vertex,69,0.52,-0.056,0.994,0.997,3.615
ph.h2o_usda.a268_index,mir,kssl,na,original,Agrocares,70,0.986,0.519,0.73,0.772,1.953
ph.h2o_usda.a268_index,mir,kssl,na,original,Argonne,70,0.842,0.598,0.847,0.822,2.288
ph.h2o_usda.a268_index,mir,kssl,na,original,CSU_IL,70,0.505,0.256,0.888,0.921,3.811
ph.h2o_usda.a268_index,mir,kssl,na,original,ETH_alpha_1,70,0.686,0.31,0.797,0.862,2.805
ph.h2o_usda.a268_index,mir,kssl,na,original,ETH_alpha_2,70,0.693,0.272,0.825,0.872,2.777
ph.h2o_usda.a268_index,mir,kssl,na,original,ETH_vertex,70,0.557,0.117,0.855,0.91,3.454
ph.h2o_usda.a268_index,mir,kssl,na,original,IAEA_aug2022,70,1.47,0.895,0.526,0.579,1.31
ph.h2o_usda.a268_index,mir,kssl,na,original,KSSL,70,0.408,-0.009,0.899,0.946,4.719
ph.h2o_usda.a268_index,mir,kssl,na,original,LandCare,70,0.469,0.056,0.873,0.931,4.109
ph.h2o_usda.a268_index,mir,kssl,na,original,Lesotho,70,2.071,1.703,0.128,0.134,0.93
ph.h2o_usda.a268_index,mir,kssl,na,original,MSU,70,0.474,0.049,0.865,0.928,4.062
ph.h2o_usda.a268_index,mir,kssl,na,original,OSU,70,0.854,0.451,0.76,0.81,2.254
ph.h2o_usda.a268_index,mir,kssl,na,original,Rothamsted,70,0.522,0.223,0.876,0.917,3.691
ph.h2o_usda.a268_index,mir,kssl,na,original,Scion,70,0.559,0.183,0.831,0.9,3.444
ph.h2o_usda.a268_index,mir,kssl,na,original,UGhent,70,0.645,-0.086,0.791,0.878,2.987
ph.h2o_usda.a268_index,mir,kssl,na,original,UIUC,70,1.597,0.801,0.473,0.553,1.206
ph.h2o_usda.a268_index,mir,kssl,na,original,USP,70,0.824,0.351,0.771,0.827,2.337
ph.h2o_usda.a268_index,mir,kssl,na,original,UWisc_fine,70,0.734,0.04,0.727,0.843,2.624
ph.h2o_usda.a268_index,mir,kssl,na,original,Woodwell_alpha,70,0.572,0.255,0.893,0.911,3.367
ph.h2o_usda.a268_index,mir,kssl,na,original,Woodwell_vertex,70,0.746,0.425,0.801,0.842,2.581
ph.h2o_usda.a268_index,mir,ossl,na,original,Agrocares,70,0.851,0.343,0.705,0.801,2.264
ph.h2o_usda.a268_index,mir,ossl,na,original,Argonne,70,0.587,0.197,0.825,0.894,3.283
ph.h2o_usda.a268_index,mir,ossl,na,original,CSU_IL,70,0.435,0.07,0.879,0.936,4.43
ph.h2o_usda.a268_index,mir,ossl,na,original,ETH_alpha_1,70,0.58,0.107,0.8,0.891,3.323
ph.h2o_usda.a268_index,mir,ossl,na,original,ETH_alpha_2,70,0.612,0.055,0.776,0.879,3.144
ph.h2o_usda.a268_index,mir,ossl,na,original,ETH_vertex,70,0.653,-0.062,0.789,0.877,2.948
ph.h2o_usda.a268_index,mir,ossl,na,original,IAEA_aug2022,70,0.967,0.699,0.769,0.76,1.992
ph.h2o_usda.a268_index,mir,ossl,na,original,KSSL,70,0.498,0.001,0.838,0.916,3.864
ph.h2o_usda.a268_index,mir,ossl,na,original,LandCare,70,0.602,0.065,0.808,0.891,3.2
ph.h2o_usda.a268_index,mir,ossl,na,original,Lesotho,70,1.368,-0.883,0.393,0.494,1.407
ph.h2o_usda.a268_index,mir,ossl,na,original,MSU,70,0.568,0.001,0.795,0.892,3.39
ph.h2o_usda.a268_index,mir,ossl,na,original,OSU,70,0.628,0.215,0.791,0.875,3.068
ph.h2o_usda.a268_index,mir,ossl,na,original,Rothamsted,70,0.56,0.141,0.829,0.902,3.437
ph.h2o_usda.a268_index,mir,ossl,na,original,Scion,70,0.61,0.244,0.8,0.877,3.155
ph.h2o_usda.a268_index,mir,ossl,na,original,UGhent,70,0.748,-0.105,0.753,0.848,2.575
ph.h2o_usda.a268_index,mir,ossl,na,original,UIUC,70,1.368,0.474,0.441,0.595,1.408
ph.h2o_usda.a268_index,mir,ossl,na,original,USP,70,0.677,0.169,0.749,0.855,2.844
ph.h2o_usda.a268_index,mir,ossl,na,original,UWisc_fine,70,0.772,0.128,0.662,0.808,2.495
ph.h2o_usda.a268_index,mir,ossl,na,original,Woodwell_alpha,70,0.625,0.133,0.799,0.883,3.081
ph.h2o_usda.a268_index,mir,ossl,na,original,Woodwell_vertex,70,0.634,0.205,0.786,0.873,3.039
